wylie,translations,comment
rang gi mtshan nyid,собственный признак,
rang rig,,
rang sangs rgyas,пратьекабудда,
rdo rje,,
rdzas,,
reg pa,соприкосновение контакт,
rgyal ba,Победитель,эпитет Будды
rgyud,"поток (сознания, бытия) + поток (моментов дхармы)",
rig pa,ведение; ведание (признак ума),
rjes su dran pa,,
rmongs pa,,
rnam par thar pa ,,
rnam [par] rtog [pa],концептуальное познание + аналитическое познание,
rnam shes,сознание; эмпирическое познание (противопоставляемое мудрости),
rtag lta ba,,
rten,опора,
rten [cing] ‘brel [bar ‘byung ba],"зависимое возникновение, наличие; зависимое",
rtog pa,изучение,(как элемент созерцания)
rtogs pa,постижение,
sbyin pa ,отдача; давание; дар,
sdig pa,грех,
sdug bsngal,страдание + истина страдания,
sems,сознание; ум; мысль; намерение,
sems bskyed,рождение мысли (о Просветлении),
sems nyid,,
sgo gsum,,
sgom pa,созерцание,
sgrib pa,препятствие; покров,"Два покрова: 1. ""покров клеш"" - служит главным препятствием освобождению от сансары и 2. ""покров познаваемого - служит главным препятствием обретению всеведения (т.е. положения Будды). Разные шеколы относят к этим покровам разные факторы "
sgro ‘dogs pa,,
sgyu ma,иллюзия,
shes bzhin pa,сознавание,
shes pa,психическое; сознание; познание,
shes rab,понимание; мистическая интуиция; мудрость,
sku gsum,,
smon lam,пожелание,
snang,,
sngags,,
snying brtse ,,
snying rje,,
snying stobs,саттва (одна из трех гун) + мужество,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,индивидуальное спасение,
spros pa ,явленность,
sprul sku,нирманакая (явленное тело Будды),
spyod pa,,
sred pa,жажда,"(наслаждений и т. д., синоним клеши)"
srid pa,становление; бытие; мир; сансарное существование,
stong [pa] nyid,пустотность; лишенность,
thams cad mkhyen pa,всеведение,
thar pa,,
thos pa,слушание (изучение),
thug pa med pa,,
ting nge ‘dzin,самадхи,состояние полной сосредоточенности на объекте созерцания
tshul khrims,нравственность,
ye shes,мудрость,
yon tan,качество; свойство; достоинство,
yul,объект,
zhe sdang,одна из шести или пяти основных клеш и один из трех ядов,
zhi ba,успокоенность; нирвана,
‘bras bu,плод; результат,
‘byor ba,,
‘dod chags,страсть; любовь; желание,
‘dod pa,признавать; считать; полагать,
‘du shes,различение; представление,
‘dus byas,,
‘dzin pa,,
‘gro ba,живое существо; сущее,
‘jig rten,мир,
‘jug pa‘i sems,,
‘khor ba,сансара; перерождение,
‘phags pa,святой,
