wylie,translations,comment
nga rgyal,pride; egocentricity,
ngar ‘dzin ,the conception as/of I; conception of [an inherently existent] I,
nges ‘byung,definite emergence [from cyclic existence]; renunciation; thought definitely to leave [cyclic existence],
ngo bo ,entity; nature,
nyams len,,
nyan thos [rnams],Hearer,
nyon mongs,affliction; afflictive emotions,
pha rol tu phyin pa,perfection; that which has gone beyond,
phrin las,action; karma,
phung po,aggregate; mental and physical aggregates,
phyag rgya,seal,
rang bzhin,nature; own-being; inherent existence,
rang gi mtshan nyid,own character; specifically characterized phenomenon,
rang rig,self-knowing; self-cognizing consciousness,
rang sangs rgyas,Solitary Realizer,
rdo rje,vajra + adamantine,
rdzas,substantial entity,
reg pa,contact; touch,
rgyal ba,,
rgyud,continuum; mental continuum; life continuum + tantra,
rig pa,knowledge; awareness; know; basic knowledge,
rjes su dran pa,memory; recollection,
rmongs pa,obscuration; delusion; confusion; ignorance; dullness,
rnam par thar pa ,liberation; freedom,
rnam [par] rtog [pa],,
rnam shes,consciousness; knower; cognition,
rtag lta ba,view of permanence,
rten,support; depend,
rten [cing] ‘brel [bar ‘byung ba],dependent-arising,
rtog pa,conceptual consciousness; conceptuality; imputation; investigation; thought,
rtogs pa,,
sbyin pa ,giving; present; donation,
sdig pa,sin; moral wrong-doing + scorpion,
sdug bsngal,suffering; pain,
sems,mind; consciousness; thought; continuum + contemplate,
sems bskyed,(altruistic) mind-generation; generation of the aspiration (to enlightenment),
sems nyid,mind; mental,
sgo gsum,,
sgom pa,,
sgrib pa,"obstruction, defilement",
sgro ‘dogs pa,superimposition; exaggeration; reification; overestimation,
sgyu ma,illusion,especially those created by magicians
shes bzhin pa,,
shes pa,consciousness; cognition; knowledge; understand,
shes rab,,
sku gsum,,
smon lam,wishes; prayer,
snang,appearance; perceive + light; illuminate,
sngags,,
snying brtse ,concern,
snying rje,compassion,
snying stobs,lightness; power of heart,
so sor brtags ‘gog,analytical cessation,
so sor rtog pa,individual investigation,
so sor thar pa,individual liberation; individual emancipation,
spros pa ,proliferations; elaborations,
sprul sku,,
spyod pa,deeds; behavior; practice; performance,
sred pa,attachment; craving,
srid pa,worldly existence; length + extension; government,
stong [pa] nyid,emptiness,
thams cad mkhyen pa,all-knowing; omniscience,
thar pa,liberation; emancipation,
thos pa,,
thug pa med pa,,
ting nge ‘dzin,,
tshul khrims,ethics; morality,
ye shes,exalted wisdom,
yon tan,quality; good quality; virtue; attainment,
yul,place; sphere + objects of operation; sense objects,
zhe sdang,anger; hatred; rage,
zhi ba,pacification; peace; be calm,
‘bras bu,,
‘byor ba,fortune; treasure; acquisitions,
‘dod chags,desire; attachment,
‘dod pa,desire; wish; assertions,
‘du shes,discrimination,
‘dus byas,caused phenomenon; product; compounded phenomenon,
‘dzin pa,hold; apprehend; apprehending subject; retention,
‘gro ba,transmigration [state of rebirth]; transmigrator; going,
‘jig rten,the transient world; people,
‘jug pa‘i sems,,
‘khor ba,cyclic existence,
‘phags pa,Superior; noble; one who has risen above the ordinary,someone who has cognized emptiness directly and thus has risen above the state of a common being
